Table S7 Average scaled expression for and percentage of cells expressing selected genes in clusters identified with bc-Smart-seq2 single-cell RNA sequencing (related to Fig 3D).;;;
gene;cluster;scaled.avg.exp;fraction.exp
LYZ;0;-0,409715687;0,084127741
CTSZ;0;0,587946251;0,01620591
LPL;0;0,011578936;0,011916111
CTSD;0;-0,290977579;0,139656816
CTSB;0;0,181529463;0,620591039
C1QB;0;0,171022685;0,550762631
C1QA;0;-0,110640055;0,393231649
SPP1;0;0,778661878;0,837940896
B2M;0;-0,3024485;0,734270734
APOE;0;-1,831955311;0,381077216
CSF1R;0;-0,245141824;0,434938036
CX3CR1;0;-0,621583481;0,253813155
ITGAM;0;-0,566362199;0,069113441
TMEM163;0;0,115419369;0,01406101
VSIR;0;0,369307739;0,140610105
ADGRG1;0;0,440786683;0,255719733
P2RY12;0;0,436107534;0,129408961
TMEM119;0;-0,067556049;0,075309819
FRG1;0;-0,384460406;0,052192564
SERF1A;0;-0,387116717;0,0042898
MEF2C;0;-0,591811844;0,302192564
SMIM11A;0;-0,382453386;0,012392755
HLA-DPB1;0;-0,126680281;0,227597712
CD63;0;-0,484992459;0,234270734
GLUL;0;0,452684199;0,238322212
TREM2;0;-0,415829787;0,165872259
NEAT1;0;0,279160581;0,71663489
ZNF302;0;-0,123211551;0,557912297
FGD2;0;1,53899544;0,695662536
AXL;0;0,635299702;0,583889418
LYZ;1;-0,620411635;0,074521123
CTSZ;1;0,606140719;0,013907111
LPL;1;0,002354725;0,013907111
CTSD;1;-0,315718985;0,151666229
CTSB;1;-1,072749963;0,622671215
C1QB;1;0,335755816;0,584885857
C1QA;1;-0,460673397;0,395959066
SPP1;1;-0,314512601;0,869588035
B2M;1;-0,936553485;0,746785621
APOE;1;-0,620652832;0,437680399
CSF1R;1;-0,501308191;0,453424298
CX3CR1;1;-0,810673574;0,266596694
ITGAM;1;0,071404344;0,077669903
TMEM163;1;-0,083826734;0,008659145
VSIR;1;0,485488063;0,164261349
ADGRG1;1;1,773664954;0,311466807
P2RY12;1;1,127415002;0,160850171
TMEM119;1;-0,205606219;0,082917869
FRG1;1;-0,372217467;0,061926004
SERF1A;1;-0,387018862;0,004985568
MEF2C;1;-0,218924614;0,345053792
SMIM11A;1;-0,382460839;0,011020729
HLA-DPB1;1;-1,046123489;0,222251378
CD63;1;-0,740960216;0,23589609
GLUL;1;0,060082115;0,242718447
TREM2;1;-0,261995632;0,199685122
NEAT1;1;1,685844441;0,815271582
ZNF302;1;2,110025929;0,676462871
FGD2;1;-0,613608412;0,601679349
AXL;1;-1,558569649;0,454998688
LYZ;2;-0,699145487;0,095132743
CTSZ;2;-0,180710538;0,012536873
LPL;2;0,393974248;0,021386431
CTSD;2;0,018228342;0,217551622
CTSB;2;1,20723623;0,746312684
C1QB;2;1,346027951;0,730825959
C1QA;2;1,455845175;0,525811209
SPP1;2;0,574696358;0,90560472
B2M;2;0,679967357;0,871681416
APOE;2;0,265732809;0,528023599
CSF1R;2;-0,332721205;0,536135693
CX3CR1;2;-0,458087244;0,307522124
ITGAM;2;0,627241564;0,104719764
TMEM163;2;0,761035744;0,02359882
VSIR;2;1,535022526;0,205014749
ADGRG1;2;0,50588062;0,328171091
P2RY12;2;-0,291399758;0,15339233
TMEM119;2;0,219292241;0,109882006
FRG1;2;-0,373966509;0,078908555
SERF1A;2;-0,38716542;0,005899705
MEF2C;2;-0,708334106;0,367256637
SMIM11A;2;-0,382599967;0,014011799
HLA-DPB1;2;1,194113638;0,369469027
CD63;2;0,156157865;0,370943953
GLUL;2;1,527109662;0,387905605
TREM2;2;0,682261129;0,282448378
NEAT1;2;-0,755092587;0,81120944
ZNF302;2;-0,688406279;0,635693215
FGD2;2;-0,631959866;0,73820059
AXL;2;-0,438945466;0,604719764
LYZ;4;-0,838523216;0,11023622
CTSZ;4;-0,971837469;0
LPL;4;-0,946356853;0
CTSD;4;1,373190743;0,307086614
CTSB;4;1,387529713;0,68503937
C1QB;4;0,298982765;0,68503937
C1QA;4;-0,817879229;0,503937008
SPP1;4;-0,779978862;0,874015748
B2M;4;1,549919208;0,803149606
APOE;4;-0,027597497;0,551181102
CSF1R;4;0,167143246;0,598425197
CX3CR1;4;-0,673294883;0,401574803
ITGAM;4;1,889075479;0,086614173
TMEM163;4;1,251311589;0,007874016
VSIR;4;0,369493704;0,157480315
