Table S9 Statistics of the average gene set expression changes in single-cell clusters (related to Fig 3E, 4B, C, D, F, G, H).;;;;;;;;;;;;;;;;;;;;;;;;;
BC-SMARTSEQ2 � 14 donors;;;;;;;;;;;;;;;;;;;;;;;;;
cluster;n cells;average DAM expression change (Standard Error);adjusted p-value;average myeloid neurodegeneration-related expression change (Standard Error);adjusted p-value;Average AD-related single-nucleus expression change (Standard Error);adjusted p-value;;;;;;;;;;;;;;;;;;
0;4196;-0.0074 (0.0016);0,000122798;0.0053 (0.0015);0,012682235;-0.0090 (0.0043);0,75169389;;;;;;;;;;;;;;;;;;
1;3811;-0.0149 (0.0016);3,14619E-18;-0.0097 (0.0015);8,41704E-09;-0.032 (0.0043);2,32741E-12;;;;;;;;;;;;;;;;;;
2;1356; 0.0421 (0.0022);1,17853E-75;0.0065 (0.0022);0,049613697;0.0781 (0.0060);1,12258E-37;;;;;;;;;;;;;;;;;;
3;157;-0.0013 (0.0062);1;0.0020 (0.0058);1;-0.0100 (0.0162);1;;;;;;;;;;;;;;;;;;
4;127;0.0092 (0.0069);1;0.0041 (0.0064);1; 0.0106 (0.0180);1;;;;;;;;;;;;;;;;;;
5;88;0.0068 (0.0082);1;0.0109 (0.0077);1;0.0236 (0.0216);1;;;;;;;;;;;;;;;;;;
6;29;-0.0104 (0.0143);1;0.0097 (0.0134);1;-0.0061 (0.0375);1;;;;;;;;;;;;;;;;;;
;9764;;;;;;;;;;;;;;;;;;;;;;;;
lm formula ;Gene.set.score ~ Genesetscore_cluster_k + cell_detected_genes + cell_UMI_count + Donor;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
10X GENOMICS SINGLE MICROGLIA � AD DONOR 2018-135;;;;;;;;;;;;;;;;;;;;;;;;;
cluster;n cells;average DAM expression change (Standard Error);adjusted p-value;average myeloid neurodegeneration-related expression change (Standard Error);adjusted p-value;Average AD-related single-nucleus expression change (Standard Error);adjusted p-value;;;;;;;;;;;;;;;;;;
0;1408;0.0010 (0.0043);1;-0.0068 (0.0029);0,3627004;-0.0179 (0.0097);1;;;;;;;;;;;;;;;;;;
1;886;0.0127 (0.0047);0,13652836;0.0060 (0.0031);1;0.0480 (0.0105);0,000109814;;;;;;;;;;;;;;;;;;
2;587;-0.0182 (0.0053);0,01394635;0.0026 (0.0035);1;-0.0356 (0.0121);0,069079042;;;;;;;;;;;;;;;;;;
;2881;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
10X GENOMICS SINGLE MICROGLIA � MCI DONOR 2019-010;;;;;;;;;;;;;;;;;;;;;;;;;
cluster;n cells;average DAM expression change (Standard Error);adjusted p-value;average myeloid neurodegeneration-related expression change (Standard Error);adjusted p-value;Average AD-related single-nucleus expression change (Standard Error);adjusted p-value;;;;;;;;;;;;;;;;;;
0;1187;-0.0050 (0.0044);1;-0.0094 (0.0028);0,01783049;-0.0355 (0.0103);0,01270049;;;;;;;;;;;;;;;;;;
1;1172;-0.0002 (0.0044);1;0.0059 (0.0028 );0,79284503; 0.0288 (0.0104);0,11626645;;;;;;;;;;;;;;;;;;
2;720;0.0068 ( 0.0051);1;0.0047 (0.0032);1;0.0090 (0.0119);1;;;;;;;;;;;;;;;;;;
;3079;;;;;;;;;;;;;;;;;;;;;;;;
lm formula;Gene.set.score ~ Genesetscore_cluster_k + cell_UMI_count;;;;;;;;;;;;;;;;;;;;;;;;
