Table S6 Cluster-enriched genes of the identified 7 clusters with bc-Smart-seq2 single-cell RNA sequencing.;;;;;;;
gene;p-value;avg_logFC;pct.1;pct.2;adjusted p-value;cluster;
HNRNPH1;2,17421E-35;0,359175562;0,944;0,931;3,87422E-31;0;
CALR;1,12892E-26;0,405107846;0,664;0,602;2,01162E-22;0;
AXL;4,3083E-24;0,477421907;0,584;0,503;7,67695E-20;0;
FGD2;4,54273E-24;0,418474869;0,696;0,642;8,09469E-20;0;
CYBB;6,26626E-24;0,331217841;0,914;0,892;1,11658E-19;0;
SRGAP2;2,68569E-14;0,25118433;0,831;0,81;4,78563E-10;0;
C6orf62;4,44674E-14;0,387359099;0,623;0,588;7,92365E-10;0;
ACTB;1,2658E-13;0,269053456;0,904;0,89;2,25553E-09;0;
SRGAP2C;1,09987E-12;0,273229694;0,78;0,766;1,95986E-08;0;
SRSF6;5,28792E-12;0,341083939;0,762;0,733;9,42254E-08;0;
SRGAP2B;7,11294E-12;0,268356479;0,791;0,777;1,26745E-07;0;
SRSF3;4,39332E-11;0,360201287;0,551;0,504;7,82846E-07;0;
DHRS3;1,44411E-09;0,408263849;0,36;0,319;2,57327E-05;0;
RNA5SP151;3,69822E-09;0,417360563;0,275;0,24;6,58986E-05;0;
GREM1;5,12877E-09;0,345511347;0,622;0,709;9,13895E-05;0;
SERPINB9;1,11159E-08;0,327074598;0,708;0,694;0,000198074;0;
TMEM33;5,5537E-08;0,397925505;0,265;0,224;0,000989614;0;
PAN3;8,46443E-08;0,36415889;0,236;0,186;0,001508277;0;
RIN2;8,53036E-08;0,291543617;0,562;0,526;0,001520026;0;
CHP1;1,11287E-07;0,31991013;0,312;0,281;0,001983016;0;
CDC42;1,25317E-07;0,282041495;0,518;0,472;0,002233025;0;
CTNNB1;1,3656E-07;0,252490089;0,755;0,731;0,002433363;0;
TSPYL1;1,47353E-07;0,400508442;0,278;0,234;0,002625686;0;
CLEC7A;2,42638E-07;0,33435443;0,573;0,545;0,004323573;0;
ETNK1;3,07193E-07;0,306531468;0,334;0,295;0,005473863;0;
RAP2B;5,08762E-07;0,386742695;0,293;0,265;0,009065633;0;
MDM4;1,51078E-06;0,323134354;0,418;0,4;0,026920515;0;
RBM6;2,92066E-06;0,30271783;0,626;0,624;0,052043238;0;
COLGALT1;3,07588E-06;0,358290286;0,331;0,299;0,054809048;0;
MARCH6;3,74252E-06;0,328035;0,293;0,257;0,066688004;0;
FLCN;3,95593E-06;0,300513713;0,411;0,374;0,070490653;0;
ITGAX;5,26543E-06;0,31138149;0,701;0,698;0,093824699;0;
ARPC4;5,87205E-06;0,29922916;0,445;0,411;0,104634001;0;
SMU1;7,99116E-06;0,362340198;0,253;0,234;0,142394536;0;
PAQR7;1,18212E-05;0,340069888;0,201;0,169;0,210642839;0;
PSMA3-AS1;2,39803E-05;0,288020684;0,343;0,322;0,427304088;0;
WTAP;2,40162E-05;0,314510459;0,503;0,472;0,427945189;0;
TMED2;2,49642E-05;0,309556723;0,372;0,354;0,44483649;0;
DNAJC3;3,43885E-05;0,321249493;0,37;0,332;0,612769344;0;
EGR1;6,21785E-05;0,401277112;0,222;0,211;1;0;
PPP1CB;7,26387E-05;0,30808526;0,566;0,546;1;0;
B4GALT1;8,14852E-05;0,285409691;0,556;0,545;1;0;
TLE3;8,84096E-05;0,266331025;0,206;0,179;1;0;
APOBEC3C;9,33914E-05;0,294948069;0,266;0,244;1;0;
ARF6;0,000116017;0,322672061;0,287;0,274;1;0;
