"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000038945",1.45127253421716e-150,1.17334966879855,0.623,0.25,1.6273118926177e-146
"ENSG00000105835",8.12430066750014e-146,12.4035216340365,0.241,0,9.10977833846791e-142
"ENSG00000120738",1.25500509263751e-144,4.84717304027333,0.252,0.006,1.40723721037444e-140
"ENSG00000130066",3.35514031153112e-142,0.972081013131688,0.836,0.516,3.76211883131985e-138
"ENSG00000075426",3.90981316844297e-133,8.31928899538217,0.224,0.001,4.38407350577511e-129
"ENSG00000059804",7.88625640540427e-124,3.48511976371902,0.251,0.02,8.84285930737981e-120
"ENSG00000197989",9.13821901101923e-121,3.00019561088795,0.26,0.028,1.02466849770559e-116
"ENSG00000221539",5.0488771199096e-117,6.69956895426739,0.205,0.003,5.66130591455464e-113
"ENSG00000281383",2.34671802001317e-115,-0.915391916901922,0.632,0.821,2.63137491584077e-111
"ENSG00000118785",8.08864196309179e-115,0.805091557533056,0.946,0.772,9.06979423321483e-111
"ENSG00000062716",8.50684590071189e-115,1.66908851404629,0.38,0.104,9.53872630846824e-111
"ENSG00000281181",7.19251279925551e-114,-0.896510345502057,0.636,0.817,8.0649646018052e-110
"ENSG00000135821",8.53858395344492e-113,1.78091501897307,0.374,0.111,9.57431418699779e-109
"ENSG00000280800",3.02829660226515e-112,-0.894232157289767,0.63,0.814,3.39562898011991e-108
"ENSG00000142089",1.89653987294813e-104,2.85405221874803,0.257,0.041,2.12659015953674e-100
"ENSG00000072274",7.22728084552987e-104,5.67139459680664,0.184,0.003,8.10395001209265e-100
"ENSG00000280614",9.20181248632919e-104,-0.892491775546087,0.637,0.803,1.03179923409209e-99
"ENSG00000147454",2.28405483145604e-103,1.03356987434821,0.496,0.211,2.56111068251166e-99
"ENSG00000103121",4.01897605657461e-98,1.76766454423537,0.257,0.046,4.50647785223711e-94
"ENSG00000137393",2.19186820485159e-96,2.50479769551128,0.222,0.027,2.45774181810009e-92
"ENSG00000130309",6.23733946867736e-94,1.60952248904759,0.318,0.088,6.99392874622793e-90
"ENSG00000086062",1.15251712081716e-93,0.619159215554777,0.605,0.289,1.29231744757229e-89
"ENSG00000033178",1.61284980481508e-93,2.36119314917712,0.232,0.035,1.80848848613915e-89
"ENSG00000223361",1.42719942664249e-92,1.08528429817922,0.579,0.317,1.60031871709423e-88
"ENSG00000226564",1.56750405822297e-91,1.14317916694609,0.492,0.227,1.75764230048542e-87
"ENSG00000149925",4.38537374550988e-90,2.23861954283458,0.239,0.042,4.91731958084023e-86
"ENSG00000219507",1.70554380643534e-88,1.24456566134572,0.45,0.197,1.91242627015595e-84
"ENSG00000167601",2.31272938930518e-85,0.792995287674874,0.474,0.203,2.5932634642279e-81
"ENSG00000230204",2.2545305296772e-84,1.30058164183724,0.415,0.175,2.52800508292704e-80
"ENSG00000232187",3.61092944733489e-84,1.20949778967205,0.422,0.177,4.04893518929661e-80
"ENSG00000229644",3.0121324574752e-83,10.9723794647435,0.145,0,3.37750412456695e-79
"ENSG00000177575",3.77019090295726e-82,1.68815697944842,0.264,0.066,4.22751505948598e-78
"ENSG00000234975",2.87100176968225e-80,1.14917597832148,0.47,0.237,3.2192542843447e-76
"ENSG00000202502",3.81411467266174e-79,1.69055679809077,0.281,0.079,4.27676678245561e-75
"ENSG00000187446",4.89282705761311e-78,1.32921417200707,0.295,0.087,5.48632697970158e-74
"ENSG00000113369",9.76859122814814e-78,2.74385452924391,0.179,0.02,1.09535213441225e-73
"ENSG00000204472",3.1989219006883e-77,0.812186689556518,0.591,0.33,3.58695112724179e-73
"ENSG00000162496",3.99908930816161e-77,1.13635340540058,0.309,0.097,4.48417884124162e-73
"ENSG00000143878",2.45084890559181e-75,2.272248439746,0.19,0.028,2.74813687784009e-71
"ENSG00000122862",5.74340559931088e-74,1.04121040957856,0.436,0.206,6.44008069850729e-70
"ENSG00000074800",7.37174149843616e-73,1.78901411066166,0.256,0.071,8.26593374219647e-69
"ENSG00000128016",4.08522875461205e-72,2.25580723250196,0.199,0.036,4.58076700254649e-68
"ENSG00000134333",8.08170887459608e-72,1.64655555132041,0.22,0.048,9.06202016108458e-68
"ENSG00000213453",1.67725985566427e-70,1.24380547414573,0.394,0.179,1.88071147615635e-66
"ENSG00000171223",3.537751477943e-70,3.39927892433001,0.142,0.008,3.96688073221749e-66
