"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.36089074366213e-204,0.999579304100973,0.973,0.895,2.64726679086835e-200,"0","ENSG00000169045"
2.12441395042001e-132,0.900617186266072,0.903,0.723,2.38210536260595e-128,"0","ENSG00000266028"
5.47352738981332e-131,0.894541219602533,0.932,0.854,6.13746626219767e-127,"0","ENSG00000165168"
2.18288117664324e-114,0.93957042575236,0.858,0.686,2.44766466337006e-110,"0","ENSG00000196369"
1.74368006398349e-113,0.945249896262027,0.852,0.666,1.95518845574469e-109,"0","ENSG00000171943"
2.40894374986548e-94,1.01720761287077,0.805,0.688,2.70114862672416e-90,"0","ENSG00000168036"
2.88396186098743e-80,0.927569504406687,0.808,0.66,3.23378643472521e-76,"0","ENSG00000124193"
3.15047550099974e-78,1.36025270628561,0.655,0.489,3.53262817927101e-74,"0","ENSG00000004534"
1.22223651200257e-69,0.603407210802218,0.919,0.878,1.37049380090848e-65,"0","ENSG00000075624"
3.59552059272919e-63,0.964226234485729,0.725,0.624,4.03165724062724e-59,"0","ENSG00000117115"
3.86480645349688e-58,0.985383748195624,0.683,0.563,4.33360747630605e-54,"0","ENSG00000140678"
9.35927191626898e-58,0.950725522525185,0.717,0.574,1.04945515997124e-53,"0","ENSG00000206418"
3.36331672628917e-55,0.821550726740423,0.727,0.585,3.77128704518805e-51,"0","ENSG00000179218"
4.9001286662899e-52,0.989484882187182,0.655,0.518,5.49451427351086e-48,"0","ENSG00000164548"
3.59634677671797e-48,0.922259874204904,0.672,0.565,4.03258364073386e-44,"0","ENSG00000132507"
8.3156280268125e-47,0.521608975077143,0.83,0.72,9.32431370646486e-43,"0","ENSG00000104824"
5.32597275401401e-45,0.950653696958936,0.585,0.418,5.97201324907591e-41,"0","ENSG00000253626"
2.69333843099669e-44,0.987230225966273,0.671,0.588,3.02004038267659e-40,"0","ENSG00000170542"
1.05621640901674e-43,1.31637765749368,0.502,0.364,1.18433545943047e-39,"0","ENSG00000132669"
9.34568728239503e-33,0.719981485495235,0.463,0.308,1.04793191497496e-28,"0","ENSG00000102898"
5.63753059584243e-32,0.798873584428198,0.624,0.549,6.32136305711812e-28,"0","ENSG00000119335"
1.01344827652262e-29,1.02404120407759,0.534,0.44,1.13637955246481e-25,"0","ENSG00000116489"
2.45231771781454e-29,1.01062692184167,0.527,0.43,2.74978385698545e-25,"0","ENSG00000172243"
2.50818949888797e-28,1.03688050486583,0.476,0.364,2.81243288510308e-24,"0","ENSG00000136603"
2.08996426506592e-26,0.946650921300663,0.521,0.429,2.34347693041841e-22,"0","ENSG00000112308"
1.53437556970394e-24,0.447772235990051,0.748,0.701,1.72049532630903e-20,"0","ENSG00000130066"
3.73198370420561e-24,1.07207926267972,0.462,0.367,4.18467332752575e-20,"0","ENSG00000146457"
1.32424770466572e-23,0.907803103461036,0.513,0.429,1.48487895124167e-19,"0","ENSG00000108953"
6.78038168385809e-23,0.83056607141302,0.421,0.312,7.60284198211008e-19,"0","ENSG00000154803"
5.01629839070621e-22,0.98757775392832,0.516,0.435,5.62477538549887e-18,"0","ENSG00000213639"
1.57557554541898e-21,0.719542026976076,0.443,0.325,1.7666928590783e-17,"0","ENSG00000134996"
1.9390958082808e-20,1.11147649541289,0.476,0.416,2.17430812982526e-16,"0","ENSG00000112081"
4.44467109980781e-20,0.410548157755188,0.651,0.57,4.9838097042145e-16,"0","ENSG00000161791"
3.67665012043721e-18,0.661283146048661,0.394,0.299,4.12262778004624e-14,"0","ENSG00000134884"
3.96240442855794e-17,0.524867649010452,0.579,0.496,4.44304408574202e-13,"0","ENSG00000128245"
6.65549716432359e-17,0.674716083491297,0.506,0.421,7.46280897035604e-13,"0","ENSG00000027697"
8.53277206352786e-16,0.414182325471698,0.627,0.514,9.5677973148338e-12,"0","ENSG00000187653"
5.22873374632251e-15,0.50456024852283,0.445,0.35,5.86297914975143e-11,"0","ENSG00000149480"
1.44290880822165e-14,0.793902974648768,0.296,0.209,1.61793364665894e-10,"0","ENSG00000180211"
5.53805174292194e-14,0.69130645819708,0.29,0.207,6.20981741933837e-10,"0","ENSG00000163635"
3.54825268202409e-13,0.542279307569643,0.582,0.551,3.97865573235361e-09,"0","ENSG00000146192"
3.89569303684862e-13,0.897785383313186,0.456,0.414,4.36824060221836e-09,"0","ENSG00000126709"
4.70047632002568e-13,0.521573449547032,0.674,0.649,5.2706440976448e-09,"0","ENSG00000277443"
4.15370304964761e-12,0.847185720337848,0.335,0.266,4.65754722956986e-08,"0","ENSG00000088448"
7.38766979832447e-12,0.742325505047041,0.506,0.476,8.28379414486122e-08,"0","ENSG00000086062"
1.28871066039005e-11,0.778608664111552,0.464,0.407,1.44503126349537e-07,"0","ENSG00000125691"
2.59362180377823e-11,0.67882554950847,0.319,0.242,2.90822812857653e-07,"0","ENSG00000240036"
3.19720127756244e-11,0.743339665434789,0.316,0.245,3.58502179253076e-07,"0","ENSG00000162613"
4.82944495940784e-11,0.623984986913743,0.453,0.381,5.41525663298401e-07,"0","ENSG00000229117"
5.87244780966123e-11,0.501066069913276,0.289,0.21,6.58477572897314e-07,"0","ENSG00000234004"
8.8294683481079e-11,0.48916792230058,0.534,0.471,9.90048285873339e-07,"0","ENSG00000067082"
1.45440889396226e-10,0.760968401888872,0.351,0.289,1.63082869279989e-06,"0","ENSG00000159461"
2.31431930317349e-10,0.893047529359473,0.35,0.289,2.59504623464843e-06,"0","ENSG00000215301"
3.05971416351127e-10,0.432660723997829,0.472,0.41,3.43085749154519e-06,"0","ENSG00000178573"
3.26966253165148e-10,0.879090011474464,0.289,0.227,3.66627259674081e-06,"0","ENSG00000185246"
6.03162444513065e-10,0.666999002009567,0.296,0.231,6.763260490325e-06,"0","ENSG00000134910"
6.67931446109471e-10,0.619447136055209,0.377,0.312,7.4895153052255e-06,"0","ENSG00000185641"
7.96912726212338e-10,0.69771499874049,0.378,0.32,8.93578239901895e-06,"0","ENSG00000138814"
1.23745765380934e-09,0.824825706656121,0.342,0.284,1.38756126721642e-05,"0","ENSG00000159399"
1.43839700786865e-09,1.18081876701349,0.26,0.203,1.61287456492312e-05,"0","ENSG00000147459"
1.95763046457688e-09,0.508733987057938,0.418,0.358,2.19509103993005e-05,"0","ENSG00000100354"
2.28621376549868e-09,0.506522927984407,0.34,0.265,2.56353149525367e-05,"0","ENSG00000256338"
2.87835330487919e-09,0.480183089591361,0.366,0.29,3.22749756076104e-05,"0","ENSG00000215126"
4.15085034574798e-09,0.708914535945875,0.385,0.341,4.65434849268721e-05,"0","ENSG00000006747"
1.13599302048388e-08,0.642263867437346,0.305,0.242,0.000127378897386858,"0","ENSG00000155849"
1.86334082112984e-08,0.530712192174659,0.373,0.306,0.000208936406273289,"0","ENSG00000147996"
3.57188602536674e-08,0.766419300953031,0.382,0.338,0.000400515580024373,"0","ENSG00000131469"
4.55833823436584e-08,0.514118412264687,0.368,0.302,0.000511126466219442,"0","ENSG00000196873"
1.84451460294238e-07,0.48294343625148,0.295,0.235,0.00206825422427929,"0","ENSG00000110880"
2.01434776461275e-07,0.652634143855012,0.43,0.395,0.00225868814846028,"0","ENSG00000118181"
2.40826390352646e-07,0.745167804176315,0.429,0.406,0.00270038631502422,"0","ENSG00000070831"
3.22228676310963e-07,0.923425228524755,0.258,0.21,0.00361315014747483,"0","ENSG00000139163"
3.58079866495827e-07,0.577739896508684,0.26,0.207,0.00401514954301771,"0","ENSG00000244405"
5.13621514349521e-07,0.649269335722703,0.48,0.479,0.00575923804040118,"0","ENSG00000038945"
7.22626919328181e-07,0.505943080770874,0.398,0.35,0.00810281564642689,"0","ENSG00000069275"
8.93484517195822e-07,0.875074188799695,0.388,0.364,0.0100186418913168,"0","ENSG00000167601"
2.74070927449052e-06,0.398741051302723,0.278,0.223,0.0307315730948622,"0","ENSG00000214389"
3.30769230753691e-06,0.608002157719677,0.269,0.218,0.0370891538444113,"0","ENSG00000232888"
