"filename","full_path","GSM_ID","donor_ID","condition","sample_ID","seq_ID"
"GSM4403092_2018-018_CTR_11-1_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403092_2018-018_CTR_11-1_S1_completeCounts.txt","GSM4403092","2018-018","CTR","11-1","S1"
"GSM4403093_2018-018_CTR_11-2_S2_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403093_2018-018_CTR_11-2_S2_completeCounts.txt","GSM4403093","2018-018","CTR","11-2","S2"
"GSM4403094_2018-018_CTR_11-3_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403094_2018-018_CTR_11-3_S3_completeCounts.txt","GSM4403094","2018-018","CTR","11-3","S3"
"GSM4403095_2018-018_CTR_11-4_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403095_2018-018_CTR_11-4_S4_completeCounts.txt","GSM4403095","2018-018","CTR","11-4","S4"
"GSM4403096_2018-021_CTR_5-1_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403096_2018-021_CTR_5-1_S5_completeCounts.txt","GSM4403096","2018-021","CTR","5-1","S5"
"GSM4403097_2018-021_CTR_5-2_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403097_2018-021_CTR_5-2_S6_completeCounts.txt","GSM4403097","2018-021","CTR","5-2","S6"
"GSM4403098_2018-021_CTR_5-3_S7_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403098_2018-021_CTR_5-3_S7_completeCounts.txt","GSM4403098","2018-021","CTR","5-3","S7"
"GSM4403099_2018-021_CTR_5-4_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403099_2018-021_CTR_5-4_S8_completeCounts.txt","GSM4403099","2018-021","CTR","5-4","S8"
"GSM4403100_2018-064_CTR_15-1_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403100_2018-064_CTR_15-1_S9_completeCounts.txt","GSM4403100","2018-064","CTR","15-1","S9"
"GSM4403101_2018-064_CTR_15-2_S10_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403101_2018-064_CTR_15-2_S10_completeCounts.txt","GSM4403101","2018-064","CTR","15-2","S10"
"GSM4403102_2018-064_CTR_15-3_S11_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403102_2018-064_CTR_15-3_S11_completeCounts.txt","GSM4403102","2018-064","CTR","15-3","S11"
"GSM4403103_2018-064_CTR_15-4_S12_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403103_2018-064_CTR_15-4_S12_completeCounts.txt","GSM4403103","2018-064","CTR","15-4","S12"
